keyword,reason
overcome,low_tfidf
encompassing,low_tfidf
answering,low_tfidf
filho,low_tfidf
silva,low_tfidf
usa,low_tfidf
mindtrek,low_tfidf
selfdetermination,low_tfidf
company,low_tfidf
interpret,low_tfidf
regard,low_tfidf
subjective,low_tfidf
representing,low_tfidf
enable,low_tfidf
influencing,low_tfidf
complete,low_tfidf
estimate,low_tfidf
top,low_tfidf
built,low_tfidf
story,low_tfidf
finally,low_tfidf
finland,low_tfidf
identifies,low_tfidf
carvalho,low_tfidf
currently,low_tfidf
revised,low_tfidf
shaping,low_tfidf
law,low_tfidf
shaped,low_tfidf
place,low_tfidf
simultaneously,low_tfidf
motivates,low_tfidf
popularity,low_tfidf
professional,low_tfidf
direct,low_tfidf
subsequent,low_tfidf
adopted,low_tfidf
incorporated,low_tfidf
word,low_tfidf
english,low_tfidf
systematically,low_tfidf
fulltext,low_tfidf
chart,low_tfidf
thereby,low_tfidf
collectively,low_tfidf
annual,low_tfidf
validate,low_tfidf
orientation,low_tfidf
ranging,low_tfidf
concerning,low_tfidf
version,low_tfidf
visually,low_tfidf
quiz,low_tfidf
controlled,low_tfidf
peer,low_tfidf
solve,low_tfidf
known,low_tfidf
short,low_tfidf
informal,low_tfidf
daily,low_tfidf
option,low_tfidf
sustainably,low_tfidf
emerge,low_tfidf
described,low_tfidf
utilizing,low_tfidf
independently,low_tfidf
apply,low_tfidf
sustainabilityfocused,low_tfidf
teamwork,low_tfidf
loop,low_tfidf
correct,low_tfidf
gamers,low_tfidf
tions,low_tfidf
inquiry,low_tfidf
bridge,low_tfidf
leadership,low_tfidf
evidencebased,low_tfidf
attractive,low_tfidf
spatial,low_tfidf
anthropocene,low_tfidf
prevent,low_tfidf
chatpinyakoop,low_tfidf
limit,low_tfidf
huber,low_tfidf
grade,low_tfidf
agriculture,low_tfidf
integrative,low_tfidf
win,low_tfidf
germany,low_tfidf
relate,low_tfidf
likely,low_tfidf
large,low_tfidf
either,low_tfidf
mission,low_tfidf
completion,low_tfidf
targeting,low_tfidf
editing,low_tfidf
flow,low_tfidf
immersion,low_tfidf
dixon,low_tfidf
khaled,low_tfidf
informing,low_tfidf
motivator,low_tfidf
obstacle,low_tfidf
vary,low_tfidf
gamelike,low_tfidf
scholar,low_tfidf
mastery,low_tfidf
resulting,low_tfidf
ongoing,low_tfidf
drawn,low_tfidf
representation,low_tfidf
embedding,low_tfidf
formation,low_tfidf
persistent,low_tfidf
uncertain,low_tfidf
justice,low_tfidf
institutional,low_tfidf
reduced,low_tfidf
equity,low_tfidf
priority,low_tfidf
wider,low_tfidf
progression,low_tfidf
fact,low_tfidf
negatively,low_tfidf
hoffmann,low_tfidf
significance,low_tfidf
triggered,low_tfidf
affected,low_tfidf
book,low_tfidf
matching,low_tfidf
tree,low_tfidf
useful,low_tfidf
serf,low_tfidf
assumption,low_tfidf
placed,low_tfidf
particular,low_tfidf
average,low_tfidf
displayed,low_tfidf
larger,low_tfidf
text,low_tfidf
monitoring,low_tfidf
interpretation,low_tfidf
